,price,rooms,area,location1,market
135,548976.0,2,47.9,Krzyki,primary
136,701046.0,1,38.52,Stare Miasto,primary
137,1150000.0,4,73.4,Krzyki,secondary
138,699000.0,3,78.74,Śródmieście,secondary
139,730000.0,4,69.73,Psie Pole,secondary
140,755811.0,3,62.45,Stare Miasto,primary
141,625000.0,2,50.0,Śródmieście,secondary
142,569000.0,2,46.0,Psie Pole,primary
143,890000.0,3,49.46,Stare Miasto,secondary
144,660000.0,2,45.0,Krzyki,secondary
145,630000.0,3,61.48,Krzyki,secondary
146,622250.0,2,47.5,Psie Pole,secondary
147,355668.0,2,33.24,Krzyki,primary
148,735000.0,3,54.0,Psie Pole,secondary
149,682000.0,2,45.69,Śródmieście,primary
150,510000.0,2,48.59,Stare Miasto,secondary
151,855001.0,3,61.6,Fabryczna,secondary
152,685130.0,2,52.3,Fabryczna,primary
153,609504.0,2,36.28,Krzyki,primary
154,518350.0,2,48.0,Fabryczna,primary
155,619000.0,2,48.76,Psie Pole,primary
156,588720.0,2,44.6,Śródmieście,primary
157,998990.0,3,65.0,Stare Miasto,secondary
158,989653.0,4,78.7,Śródmieście,primary
159,725000.0,3,75.25,Krzyki,secondary
160,857900.0,4,93.53,Fabryczna,primary
161,560000.0,3,46.5,Psie Pole,primary
162,780670.0,3,66.44,Krzyki,primary
163,420000.0,2,35.0,Stare Miasto,secondary
164,690000.0,2,43.5,Krzyki,secondary
165,699000.0,3,55.01,Psie Pole,secondary
166,540000.0,1,35.5,Stare Miasto,primary
167,1100000.0,1,38.74,Stare Miasto,primary
168,631958.0,4,59.35,Krzyki,primary
169,799000.0,3,68.3,Psie Pole,secondary
170,799900.0,2,59.83,Stare Miasto,secondary
171,570000.0,2,50.5,Fabryczna,secondary
172,699999.0,3,90.65,Krzyki,primary
173,747196.0,3,69.46,Psie Pole,primary
174,599000.0,3,51.58,Psie Pole,primary
175,560000.0,2,48.0,Krzyki,secondary
176,567541.0,2,38.09,Krzyki,primary
177,829000.0,4,73.0,Psie Pole,primary
178,670347.0,4,72.47,Psie Pole,primary
179,499000.0,2,46.11,Fabryczna,secondary
180,704000.0,3,63.7,Psie Pole,primary
181,759000.0,3,63.0,Krzyki,secondary
182,518998.0,2,38.83,Psie Pole,primary
183,489000.0,2,41.0,Psie Pole,secondary
184,329900.0,2,56.5,Stare Miasto,secondary
185,740000.0,3,50.02,Krzyki,secondary
186,562048.0,2,43.91,Psie Pole,primary
187,463887.0,2,37.26,Psie Pole,primary
188,761900.0,4,65.42,Fabryczna,primary
189,609000.0,1,38.56,Stare Miasto,primary
190,999999.0,3,66.0,Krzyki,secondary
191,700000.0,3,60.0,Psie Pole,secondary
192,599000.0,2,56.98,Śródmieście,secondary
193,734898.0,3,50.37,Stare Miasto,primary
194,750000.0,4,77.0,Psie Pole,secondary
195,671500.0,3,60.55,Krzyki,primary
196,445000.0,2,44.0,Śródmieście,secondary
197,538000.0,2,44.0,Krzyki,primary
198,749000.0,3,61.0,Krzyki,secondary
199,926900.0,4,71.3,Śródmieście,primary
200,980000.0,3,68.98,Stare Miasto,secondary
201,535000.0,3,51.0,Psie Pole,primary
202,768915.0,3,73.23,Krzyki,primary
203,687831.0,3,60.87,Krzyki,primary
204,537056.0,3,51.64,Psie Pole,primary
205,715000.0,3,55.0,Psie Pole,secondary
206,290000.0,2,33.83,Krzyki,secondary
207,950880.0,4,67.2,Śródmieście,primary
208,485000.0,2,56.5,Śródmieście,secondary
209,899000.0,3,63.44,Psie Pole,secondary
210,1150000.0,4,78.35,Krzyki,secondary
211,736581.0,3,58.09,Krzyki,primary
212,599000.0,3,60.0,Krzyki,secondary
213,637000.0,3,55.5,Krzyki,primary
214,632000.0,3,61.0,Krzyki,primary
215,399058.0,2,41.14,Krzyki,primary
216,499000.0,2,47.6,Fabryczna,secondary
217,712840.0,3,56.8,Krzyki,primary
218,779000.0,3,46.44,Stare Miasto,secondary
219,695538.0,2,39.45,Stare Miasto,primary
220,729997.0,4,70.0,Psie Pole,secondary
221,889236.0,2,53.92,Stare Miasto,primary
222,520000.0,2,48.02,Krzyki,secondary
223,684000.0,2,37.0,Śródmieście,secondary
224,689000.0,3,55.96,Stare Miasto,primary
225,819000.0,4,69.24,Psie Pole,primary
226,504595.0,2,38.0,Fabryczna,primary
227,932786.0,3,59.14,Stare Miasto,primary
228,861779.0,4,96.37,Psie Pole,primary
229,408320.0,3,46.4,Krzyki,primary
230,649001.0,3,51.49,Psie Pole,primary
231,459000.0,2,50.8,Psie Pole,secondary
232,538824.0,1,30.61,Stare Miasto,primary
233,599000.0,2,40.1,Krzyki,secondary
234,499000.0,2,38.63,Stare Miasto,secondary
235,575000.0,3,52.12,Psie Pole,secondary
236,590000.0,3,61.01,Psie Pole,primary
237,681645.0,3,66.55,Fabryczna,primary
238,590730.0,2,40.6,Krzyki,primary
239,589000.0,3,48.5,Krzyki,secondary
240,660000.0,2,48.8,Fabryczna,secondary
241,632959.0,3,60.92,Krzyki,primary
242,795905.0,3,49.9,Śródmieście,primary
243,895000.0,2,60.67,Krzyki,secondary
244,572329.0,4,55.75,Krzyki,primary
245,1227105.0,4,81.4,Śródmieście,primary
246,631000.0,4,70.19,Psie Pole,primary
247,499000.0,2,46.11,Fabryczna,secondary
