,url,price,price_m2,rooms,area,location1,location2,market
0,https://www.otodom.pl/pl/oferta/okolice-ul-j-narodowej-inwestycja-piwnica-ID4nbw8,600000.0,8869.0,3,67.65,Stare Miasto,Stare Miasto,secondary
1,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4ncR3,359040.0,12800.0,1,28.05,Psie Pole,Poświętne,primary
2,https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-na-szczepinie-przy-rzece-ID4dbED,880147.0,12379.0,3,71.1,Stare Miasto,Szczepin,primary
3,https://www.otodom.pl/pl/oferta/mieszkanie-z-dusza-w-kamienicy-po-remoncie-ID4jL5G,689000.0,11678.0,3,59.0,Śródmieście,Szczytniki,secondary
4,https://www.otodom.pl/pl/oferta/3-pokoje-l-wyjatkowa-inwestycja-w-sercu-miasta-ID4nnPX,1149200.0,14855.0,3,77.36,Stare Miasto,Stare Miasto,primary
5,https://www.otodom.pl/pl/oferta/okolice-ul-ustronie-rozklad-inwestycja-piwnica-ID4lTru,455000.0,12569.0,2,36.2,Śródmieście,Ołbin,secondary
6,https://www.otodom.pl/pl/oferta/premium-3-pokoje-15-min-do-rynku-nowe-zerniki-ID4n1yB,1100000.0,17036.0,3,64.57,Fabryczna,Leśnica,secondary
7,https://www.otodom.pl/pl/oferta/4-balkony-z-widokiem-na-rzeke-ID4hy4y,795000.0,11866.0,2,67.0,Stare Miasto,Stare Miasto,secondary
8,https://www.otodom.pl/pl/oferta/szczepin-4pokoje-2balkony-promocja-ID4noS3,999000.0,10835.0,4,92.2,Stare Miasto,Szczepin,primary
9,https://www.otodom.pl/pl/oferta/apartament-4-pok-80-91m2-taras-drukarska56-ID4nnYD,1350000.0,16685.0,4,80.91,Krzyki,Powstańców Śląskich,secondary
10,https://www.otodom.pl/pl/oferta/mieszkanie-z-tarasem-niska-zabudowa-ID4nolH,679774.0,11690.0,3,58.15,Psie Pole,Swojczyce,primary
11,https://www.otodom.pl/pl/oferta/2-pokoje-klucze-w-2024-ID4nmeL,541000.0,12256.0,2,44.14,Krzyki,Księże,primary
12,https://www.otodom.pl/pl/oferta/2-pokoje-pelen-rozklad-grabiszyn-okazja-ID4nwSP,570000.0,8447.0,3,67.48,Fabryczna,Muchobór Mały,secondary
13,https://www.otodom.pl/pl/oferta/bogatynska-apartamenty-mieszkanie-a1-2-15-ID4h7np,1025193.0,8666.0,5,118.3,Fabryczna,Maślice,primary
14,https://www.otodom.pl/pl/oferta/gotowe-w-tym-roku-blisko-centrum-tereny-zielone-ID4nlTM,518800.0,16927.0,1,30.65,Stare Miasto,Szczepin,primary
15,https://www.otodom.pl/pl/oferta/nowoczesne-3-pok-mieszkanie-w-willi-na-borku-ID4mhqt,890000.0,15279.0,3,58.25,Krzyki,Borek,secondary
16,https://www.otodom.pl/pl/oferta/1-pokojowe-balkon-krzyki-klecina-ID4mVVV,420000.0,12727.0,1,33.0,Krzyki,Klecina,secondary
17,https://www.otodom.pl/pl/oferta/3-pokojowe-w-centrum-ul-zelazna-wyremontowane-ID4nuYF,529000.0,12009.0,3,44.05,Fabryczna,Gajowice,secondary
18,https://www.otodom.pl/pl/oferta/wroclaw-wojszyce-ul-illakowiczowny-taras-a8-ID4gSEi,850000.0,9250.0,3,91.89,Krzyki,Wojszyce,primary
19,https://www.otodom.pl/pl/oferta/m3-balkon-tramwaj-pkp-kredyt-2-wro-kowale-ID4niKa,648099.0,11396.0,3,56.87,Psie Pole,Kowale,primary
20,https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-z-ogrodkiem-30-m2-zadzwon-ID4nBju,449085.0,14100.0,1,31.85,Fabryczna,Gajowice,primary
21,https://www.otodom.pl/pl/oferta/4-pokoje-wsrod-zielonych-terenow-ID4mNEu,823200.0,9812.0,4,83.9,Krzyki,Księże,primary
22,https://www.otodom.pl/pl/oferta/kawalerka-30m2-przy-promenadzie-ID4mtki,525000.0,17500.0,1,30.0,Krzyki,Wojszyce,secondary
23,https://www.otodom.pl/pl/oferta/apartament-2-pokoje-w-samym-sercu-miasta-garaz-ID4niX6,711000.0,18755.0,2,37.91,Stare Miasto,Przedmieście Świdnickie,primary
24,https://www.otodom.pl/pl/oferta/czteropokojowy-apartament-w-centrum-wroclawia-ID4nvR7,1320690.0,13300.0,4,99.3,Stare Miasto,Stare Miasto,primary
25,https://www.otodom.pl/pl/oferta/luksusowe-wykonczone-mieszkanie-65m-centrum-0-ID4nncu,1395000.0,21462.0,3,65.0,Śródmieście,Nadodrze,secondary
26,https://www.otodom.pl/pl/oferta/2-kawalerki-dwupak-inwestycyjny-jaworska-ID4nrwb,687997.0,13228.0,2,52.01,Stare Miasto,Szczepin,secondary
27,https://www.otodom.pl/pl/oferta/armii-krajowej-lokal-hotelowy-b-2-h23-ID4jFNM,415066.0,14200.0,1,29.23,Krzyki,Tarnogaj,primary
28,https://www.otodom.pl/pl/oferta/centrum-ul-stawowa-wykonczone-nowa-kamienica-ID4n9QU,900000.0,13720.0,4,65.6,Stare Miasto,Przedmieście Świdnickie,secondary
29,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-balkon-bez-prowizji-ID4lB30,569813.0,12080.0,2,47.17,Krzyki,Przedmieście Oławskie,primary
30,https://www.otodom.pl/pl/oferta/wymarzone-5-pokoi-dla-twojej-rodziny-z-tarasem-ID49Hjo,822059.0,10099.0,5,81.4,Fabryczna,Żerniki,primary
